question_id	subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
JP01_001	jp	JP01	漢字・語彙	「意図」という言葉の意味として、最も適切なものはどれですか？	["思っていることや、しようと考えていること","偶然起こった出来事","相手を疑う気持ち","深く反省すること"]	0	思っていることや、しようと考えていること	「意」はこころ、「図」ははかる、計画するという意味があります。	normal
JP01_002	jp	JP01	漢字・語彙	次のうち、「厚い」の対義語（反対の意味の言葉）はどれですか？	["低い","薄い","細い","浅い"]	1	薄い	「厚い本」に対して「薄い本」のように使います。	easy
JP01_003	jp	JP01	漢字・語彙	「〇肉〇食」の〇に入る漢数字はどれですか？	["一","十","百","弱"]	3	弱	「弱肉強食（じゃくにくきょうしょく）」は、弱いものが強いもののえじきになることです。	normal
JP02_001	jp	JP02	文法・言葉のきまり	「先生が本を〇〇。」尊敬語として適切なものはどれですか？	["お読みした","読まれた","拝読した","申された"]	1	読まれた	「お～する」「拝読する」は謙譲語です。「～れる・られる」は尊敬語の形です。	hard
JP02_002	jp	JP02	文法・言葉のきまり	次の文の主語はどれですか？「赤い屋根の家から、楽しそうな笑い声が聞こえる。」	["赤い","屋根の","家から","笑い声が"]	3	笑い声が	「何が」にあたる言葉が主語です。この文では「聞こえる」のは「笑い声」です。	normal
JP03_001	jp	JP03	物語文読解	「まるで氷のように冷たい手」という表現で使われている技法はどれですか？	["擬人法（ぎじんほう）","倒置法（とうちほう）","直喩法（ちょくゆほう）","反復法（はんぷくほう）"]	2	直喩法（ちょくゆほう）	「まるで～のようだ」という言葉を使ってたとえる方法を直喩（シミリ）といいます。	hard
JP03_002	jp	JP03	物語文読解	物語文で「肩を落とす」という表現がありました。登場人物のどんな気持ちを表していますか？	["怒り","喜び","落胆（がっかりする）","安心"]	2	落胆（がっかりする）	気力がなくなって、力が抜けて肩が垂れ下がる様子から、がっかりした気持ちを表します。	normal
JP04_001	jp	JP04	説明文・論説文読解	説明文で「しかし」「ところが」などの接続語が出てきたあとには、どのような内容が続くことが多いですか？	["前の文のまとめ","前の文に対する理由","前の文と対立・逆の内容","前の文の具体的な例"]	2	前の文と対立・逆の内容	「しかし」などは「逆接」の接続語と呼ばれ、前の内容とは違う展開にする時に使います。	easy
JP04_002	jp	JP04	説明文・論説文読解	説明文は一般的に「序論（はじめ）」「本論（なか）」「結論（おわり）」の三つで構成されます。「本論」の役割はどれですか？	["話題を提示する","筆者の主張をまとめる","具体例や理由を詳しく説明する","読者に挨拶をする"]	2	具体例や理由を詳しく説明する	「本論」は文章の中心部分で、詳しい説明や証拠を挙げる部分です。	normal
JP08_001	jp	JP08	知識・文学史	「銀河鉄道の夜」や「注文の多い料理店」を書いた作家は誰ですか？	["夏目漱石","芥川龍之介","宮沢賢治","太宰治"]	2	宮沢賢治	宮沢賢治は岩手県出身の詩人・童話作家で、自然や宇宙をテーマにした作品を多く残しました。	normal
MA01_001	math	MA01	計算	「10 - 4 ÷ 2」の計算の答えはいくつですか？	["3","8","12","2"]	1	8	引き算と割り算が混ざっているときは、割り算を先に計算します。10 - 2 = 8 です。	easy
MA01_002	math	MA01	計算	分数の計算「1/3 + 1/6」の答えを約分したものはどれですか？	["2/9","1/2","2/3","1/9"]	1	1/2	通分すると 2/6 + 1/6 = 3/6 となり、約分すると 1/2 になります。	normal
MA02_001	math	MA02	数の性質	12と18の最大公約数はいくつですか？	["2","3","6","36"]	2	6	12の約数は(1,2,3,4,6,12)、18の約数は(1,2,3,6,9,18)。共通する一番大きな数は6です。	normal
MA03_001	math	MA03	割合・比	定価1000円のハンカチが20%引きで売られています。代金はいくらですか？	["200円","800円","900円","980円"]	1	800円	20%引きということは、定価の80%の値段です。1000 × 0.8 = 800円になります。	normal
MA03_002	math	MA03	割合・比	縦と横の長さの比が 2 : 3 の長方形があります。縦の長さが 10cm のとき、横の長さは何cmですか？	["10cm","15cm","20cm","30cm"]	1	15cm	2 : 3 = 10 : x となります。2が10になるには5倍なので、3も5倍して15cmです。	normal
MA04_001	math	MA04	速さ	時速60kmで走る自動車が、3時間に進む距離は何kmですか？	["20km","63km","120km","180km"]	3	180km	道のり = 速さ × 時間 です。60 × 3 = 180km となります。	easy
MA04_002	math	MA04	速さ	1200mの道のりを、分速60mで歩くと何分かかりますか？	["2分","20分","200分","72分"]	1	20分	時間 = 道のり ÷ 速さ です。1200 ÷ 60 = 20分 となります。	normal
MA06_001	math	MA06	平面図形	三角形の面積を求める公式はどれですか？	["底辺×高さ","底辺×高さ÷2","(上底+下底)×高さ÷2","半径×半径×3.14"]	1	底辺×高さ÷2	三角形は平行四辺形の半分の面積になるため、2で割ります。	easy
MA06_002	math	MA06	平面図形	半径が4cmの円の円周の長さはどれですか？（円周率は3.14とします）	["12.56cm","25.12cm","50.24cm","16cm"]	1	25.12cm	円周 = 直径 × 3.14 です。半径4cmなので直径は8cm。8 × 3.14 = 25.12cmです。	normal
MA08_001	math	MA08	場合の数・確率	1、2、3のカードが1枚ずつあります。これを並べて3けたの整数を作るとき、全部で何通りの整数ができますか？	["3通り","4通り","6通り","9通り"]	2	6通り	百の位は3通り、十の位は残り2通り、一の位は残り1通りなので、3×2×1=6通りです。	hard
SC01_001	sci	SC01	力・運動	ふりこが1往復する時間は、何によって変わりますか？	["おもりの重さ","ふれ幅","ふりこの長さ","おもりの形"]	2	ふりこの長さ	ふりこの等時性により、おもりの重さやふれ幅（小さい場合）は関係なく、長さだけで決まります。	normal
SC02_001	sci	SC02	電気	電磁石の力を強くする方法として、正しいものはどれですか？	["電池の数を減らす","コイルの巻き数を増やす","コイルの中にプラスチックを入れる","導線を細くする"]	1	コイルの巻き数を増やす	電磁石は、電流を大きくするか、コイルの巻き数を増やすと強くなります。	normal
SC04_001	sci	SC04	物質の性質	水を熱して沸騰させると出てくる「あわ」の正体は何ですか？	["空気","水蒸気","酸素","二酸化炭素"]	1	水蒸気	水が沸騰して、液体から気体（水蒸気）に変化したものです。	easy
SC05_001	sci	SC05	水溶液	食塩水は「中性」です。赤色リトマス紙をつけると、何色になりますか？	["青色になる","赤色のまま","黄色になる","透明になる"]	1	赤色のまま	中性の水溶液は、赤色リトマス紙も青色リトマス紙も色は変わりません。	normal
