subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
math	MA10	特殊算	つるとかめが合わせて5匹、足の合計が16本のとき、かめは何びきいますか？	"[""2びき"",""3びき"",""4びき"",""5びき""]"	1	3びき	もし5匹全部がつるなら足は10本です。実際の16本との差6本を、つるとかめの足の差（2本）で割ると、かめの数が出ます。	easy
math	MA10	特殊算	つるとかめが合わせて5匹、足の合計が16本のとき、つるは何羽いますか？	"[""1羽"",""2羽"",""3羽"",""4羽""]"	1	2羽	かめの数が3びきとわかれば、全体の5匹から引いて、つるは2羽だと求められます。	easy
math	MA10	特殊算	33km離れた川の往復で、静水時の速さが異なる船AとBがあります。船Aが上りに11時間、下りに3時間かかるとき、川の流れの速さは時速何kmですか？	"[""時速2km"",""時速3km"",""時速4km"",""時速5km""]"	2	時速4km	船Aの上り速さは3km/h、下り速さは11km/hです。流速は（下り速さ－上り速さ）÷2で求められます。	normal
math	MA10	特殊算	33kmの川で、流速が時速4kmのとき、上りに6時間かかる船Bの下りの速さは時速何kmですか？	"[""時速11.5km"",""時速12.5km"",""時速13.5km"",""時速14.5km""]"	2	時速13.5km	船Bの上り速さは33÷6＝5.5km/h。下り速さは「上り速さ＋流速×2」なので、5.5＋8＝13.5km/hです。	hard
math	MA10	特殊算	ある仕事を仕上げるのにAなら30日、Bなら45日かかります。Bが15日間働いた後、残りをAがするとあと何日かかりますか？	"[""15日"",""18日"",""20日"",""25日""]"	2	20日	全体の仕事を90とすると、1日の仕事量はAが3、Bが2。Bが15日で30終えるので、残りの60をAがすると60÷3＝20日です。	normal
math	MA10	特殊算	仕事全量をAなら30日、Bなら45日で終えるとき、2人が協力して1日にできる仕事量は、全体のどれだけにあたりますか？	"[""1/15"",""1/18"",""1/20"",""1/25""]"	1	1/18	全体の仕事を1とすると、Aは1/30、Bは1/45です。足すと(3+2)/90 = 5/90 = 1/18となります。	normal
math	MA10	特殊算	現在、母は37才、子供二人は11才と8才です。子供二人の合計年齢が母の年齢と等しくなるのは、母が何才のときですか？	"[""48才"",""52才"",""55才"",""60才""]"	2	55才	現在の差は18才。1年で母は1才、子供二人は計2才増えるので差は1年で1才縮まります。18年後に等しくなるので、37+18=55才です。	normal
math	MA10	特殊算	母37才、子供二人が11才と8才のとき、子供二人の合計年齢が母の年齢に追いつくのは何年後ですか？	"[""15年後"",""18年後"",""20年後"",""22年後""]"	1	18年後	現在の母と子供二人の合計（19才）の差は18才です。1年ごとに差が1才ずつ縮まるため、18÷1＝18年後となります。	easy
math	MA10	特殊算	長いすに3人ずつ座ると21人が座れず、4人ずつ座るといすが5脚余ります。生徒の人数は何人ですか？	"[""120人"",""136人"",""144人"",""152人""]"	2	144人	5脚余る＝4×5で20人分不足。過不足の合計は21+20=41。1脚の差1人で割るといすは41脚。人数は3×41+21=144人です。	normal
math	MA10	特殊算	長いすに3人ずつ座ると21人が座れず、4人ずつ座るといすが5脚余るとき、長いすは全部で何脚ありますか？	"[""38脚"",""41脚"",""43脚"",""45脚""]"	1	41脚	3人ずつで「21人余り」、4人ずつで「20人不足」なので、差の合計41人を1脚あたりの差1人で割ると41脚になります。	normal
math	MA10	特殊算	みかん6個とリンゴ3個で630円、みかん4個とリンゴ5個で690円のとき、リンゴ1個の値段はいくらですか？	"[""70円"",""80円"",""90円"",""100円""]"	2	90円	個数を揃えて比較します。みかん12個に揃えると「リ6個で1260円」と「リ15個で2070円」の差から、リ9個=810円、1個90円です。	normal
math	MA10	特殊算	みかん6個とリンゴ3個で630円、みかん4個とリンゴ5個で690円のとき、みかん1個の値段はいくらですか？	"[""50円"",""60円"",""70円"",""80円""]"	1	60円	リンゴ1個が90円とわかれば、最初の式に代入して、みかん6個＝630－270＝360円。よって1個60円です。	normal
math	MA10	特殊算	水槽に一定の割合で水が流れ込んでいます。毎分8L出すポンプだと200分で空になり、毎分5Lだと366と2/3分で空になるとき、水が流れ込む速さは毎分何Lですか？	"[""1.2L"",""1.4L"",""1.6L"",""1.8L""]"	1	1.4L	排出量の差233.3Lは、時間の差166.6分間に流れ込んだ量です。233.3÷166.6＝1.4L/分となります。	hard
